# accession	asmId	taxId	vgpClade	Scientific_name	UCSC_common_name	NCBI_taxon_string
GCA_034619455.1	GCA_034619455.1_bLepDis1.hap1	188344	birds	Leptosomus_discolor	cuckoo roller (hap1 2023)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Coraciimorphae;Coraciiformes;Leptosomidae;Leptosomus;
GCA_035046495.1	GCA_035046495.1_rTilSci1.hap1	71010	vertebrate	Tiliqua_scincoides	common blue-tongued skink (hap1 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Lepidosauria;Squamata;Bifurcata;Unidentata;Scinciformata;Scincidae;Egerniinae;Tiliqua;
GCA_035084065.1	GCA_035084065.1_sHydCol1.hap1	7873	vertebrate	Hydrolagus_colliei	spotted ratfish (hap1 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Chondrichthyes;Holocephali;Chimaeriformes;Chimaeridae;Hydrolagus;
GCA_035084135.1	GCA_035084135.1_sHepPer1.hap2	212740	vertebrate	Heptranchias_perlo	sharpnose sevengill shark (hap2 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Chondrichthyes;Elasmobranchii;Selachii;Squalomorphii;Hexanchiformes;Hexanchidae;Heptranchias;
GCA_035125265.1	GCA_035125265.1_rCanAsp1.hap1	51853	vertebrate	Candoia_aspera	Papuan ground boa (hap1 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Lepidosauria;Squamata;Bifurcata;Unidentata;Episquamata;Toxicofera;Serpentes;Henophidia;Boidae;Boinae;Candoia;
GCA_035149815.1	GCA_035149815.1_klBraLanc5.hap1	7740	invertebrate	Branchiostoma_lanceolatum	amphioxus (hap1 2024)	Bilateria;Deuterostomia;Chordata;Cephalochordata;Leptocardii;Amphioxiformes;Branchiostomatidae;Branchiostoma;
GCA_035609135.1	GCA_035609135.1_aEleCoq1.hap2	57060	vertebrate	Eleutherodactylus_coqui	Puerto Rican coqui (hap2 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amphibia;Batrachia;Anura;Neobatrachia;Hyloidea;Eleutherodactylidae;Eleutherodactylinae;Eleutherodactylus;Eleutherodactylus;
GCA_036010745.1	GCA_036010745.1_bCalNic1.hap2	187106	birds	Caloenas_nicobarica	Nicobar pigeon (hap2 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Columbimorphae;Columbiformes;Columbidae;Caloenas;
GCA_036010775.2	GCA_036010775.2_bColLiv1.mat.v2	8932	birds	Columba_livia	rock pigeon (v2 racing homer maternal hap 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Columbimorphae;Columbiformes;Columbidae;Columba;
GCA_036172335.1	GCA_036172335.1_bHelExo1.hap2	472823	birds	Heliangelus_exortis	tourmaline sunangel (hap2 2024)	Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Strisores;Apodiformes;Trochilidae;Heliangelus;
